"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","firstbet","secondbet","thirdbet","firstbet_fixed3rdtrial","secondbet_fixed3rdtrial","total_bet","fixed_bet_over100","forthbet","success","rt","response","accuracy","view_history","correct","timeout","failed_images","failed_audio","failed_video","type","overbet","speaker","delivery","list","horse"
"1920","963","true","chrome","117.0.0","false","Windows 10","true","60.16","true","true","browser-check","0","1001","0.0-0.0","1","3","8","5","6","82","0","63","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","1","2961","0.0-1.0","1","3","8","5","6","82","0","63","true","","","","","","","","","","","","","","",""
"","","","","","","","","","","","survey","2","9774","0.0-2.0","1","3","8","5","6","82","0","63","","6781","{""prolific_id"":""999"",""uk_origin"":""Yes"",""uk_live"":""Yes"",""english_l1"":""Yes""}","[{""uk_origin"":true},{""uk_live"":true},{""english_l1"":true}]","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","3","10577","0.0-4.0","1","3","8","5","6","82","0","63","","803","","","[{""page_index"":0,""viewing_time"":803}]","","","","","","","","","","",""
"","","","","","","","","","","","audio-button-response","4","16489","0.0-5.0-0.0","1","3","8","5","6","82","0","63","","5880","2","","","true","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","20281","0.0-7.0","1","3","8","5","6","82","0","63","","3791","","","[{""page_index"":0,""viewing_time"":3791}]","","","","","","","","","","",""
"","","","","","","","","","","","preload","6","20361","0.0-8.0","1","3","8","5","6","82","0","63","true","","","","","","false","[]","[]","[]","","","","","",""
"","","","","","","","","","","","html-keyboard-response","7","23465","0.0-9.0","1","3","8","5","6","82","0","63","","3103","h","","","","","","","","","","","","",""
"","","","","","","","","","","","audio-survey-input-response","8","51601","0.0-10.0","1","3","8","5","6","82","0","63","","52135","{""firewalker"":""1""}","","","","","","","","firstbet","no","nonnative","fluent","3","firewalker"
"","","","","","","","","","","","audio-survey-input-response","9","94561","0.0-11.0","1","3","8","5","6","82","0","63","","95067","{""firewalker"":"""",""blackblade"":""3""}","","","","","","","","secondbet","no","native","disfluent","3","blackblade"
"","","","","","","","","","","","audio-survey-input-response","10","133402","0.0-12.0","1","3","8","5","6","82","0","63","","133865","{""firewalker"":""5"",""blackblade"":""6"",""apocalypse"":""8""}","","","","","","","","thirdbet","no","native","fluent","3","apocalypse"
"","","","","","","","","","","","audio-survey-input-response","11","175386","0.0-13.0","1","3","8","5","6","82","0","63","","175810","{""firewalker"":"""",""blackblade"":"""",""apocalypse"":"""",""silversky"":""63""}","","","","","","","","forthbet","no","nonnative","disfluent","3","silversky"
"","","","","","","","","","","","instructions","12","176169","0.0-15.0","1","3","8","5","6","82","0","63","","782","","","[{""page_index"":0,""viewing_time"":782}]","","","","","","","","","","",""
"","","","","","","","","","","","survey","13","187966","0.0-16.0","1","3","8","5","6","82","0","63","","11770","{""P0_Q0"":null,""sociable_native"":1,""friendly_native"":8,""nice_native"":9,""honest_native"":9,""pleasant_native"":9,""P1_Q0"":null,""trustworthy_native"":8,""easy_native"":9,""fluent_native"":9,""strong_native"":9,""P2_Q0"":null,""irritated_native"":9,""interested_native"":9,""enthusiastic_native"":9,""frustrated_native"":9,""annoyed_native"":9,""happy_native"":9,""P3_Q0"":null,""competent_native"":9,""smart_native"":9,""educated_native"":9,""intelligent_native"":9,""successful_native"":9}","[]","","","","","","","survey_native","","native","","",""
"","","","","","","","","","","","survey","14","201574","0.0-17.0","1","3","8","5","6","82","0","63","","13595","{""P0_Q0"":null,""trustworthy_nonnative"":8,""easy_nonnative"":8,""fluent_nonnative"":8,""strong_nonnative"":8,""P1_Q0"":null,""irritated_nonnative"":8,""interested_nonnative"":8,""enthusiastic_nonnative"":7,""frustrated_nonnative"":8,""annoyed_nonnative"":8,""happy_nonnative"":8,""P2_Q0"":null,""sociable_nonnative"":8,""friendly_nonnative"":8,""nice_nonnative"":8,""honest_nonnative"":8,""pleasant_nonnative"":8,""P3_Q0"":null,""competent_nonnative"":8,""smart_nonnative"":8,""educated_nonnative"":8,""intelligent_nonnative"":8,""successful_nonnative"":8}","[]","","","","","","","survey_nonnative","","non-native","","",""
"","","","","","","","","","","","survey","15","208281","0.0-18.0","1","3","8","5","6","82","0","63","","6693","{""P0_Q0"":null,""exposure_nn"":9,""exposure_n"":9,""P0_Q3"":null,""P0_Q4"":""Yes"",""P0_Q5"":5,""P1_Q0"":null,""naturalness_native"":6,""naturalness_nonnative"":6,""P1_Q3"":"""",""P1_Q4"":""""}","[{""P0_Q4"":true}]","","","","","","","survey_checks","","","","",""
